ACHAT,NOMBRE,PRIX UNITAIRE,TOTALE,SOMME TOTALES
PAPIER PEINT,4,"3 750,00 XOF","15 000,00 XOF","408 750,00 XOF"
COLE SADERE,3,"1 500,00 XOF","4 500,00 XOF",
CADENAS,3,"2 500,00 XOF","7 500,00 XOF",
SERRURE,4,"1 000,00 XOF","4 000,00 XOF",
PEINTURE,8,"3 000,00 XOF","24 000,00 XOF",
COLORANT,1,"1 000,00 XOF","1 000,00 XOF",
ESSENCE,5,"500,00 XOF","2 500,00 XOF",
PEINTURE MARRON,1,"2 500,00 XOF","2 500,00 XOF",
FOMME,2,"1 000,00 XOF","2 000,00 XOF",
VENTILATEUR,1,"16 000,00 XOF","16 000,00 XOF",
FIL ROULEAU,2,"6 000,00 XOF","12 000,00 XOF",
ATTACHE,2,"1 000,00 XOF","2 000,00 XOF",
MAIN D'OEUVRE,1,"23 000,00 XOF","23 000,00 XOF",
AMPOULE,1,"3 000,00 XOF","3 000,00 XOF",
AMPOULE,2,"2 500,00 XOF","5 000,00 XOF",
AMPOULE,1,"1 250,00 XOF","1 250,00 XOF",
PARTERRE,1,"11 000,00 XOF","11 000,00 XOF",
CILLE ELECTRIQUE,1,"23 000,00 XOF","23 000,00 XOF",
imprimante,1,70 000 XOF,"70 000,00 XOF",
Contre plaqué de 15,2,"15 500,00 XOF","31 000,00 XOF",
vernille,2,"2 500,00 XOF","5 000,00 XOF",
MATIERE COLANTE,"4,5","1 500,00 XOF","6 750,00 XOF",
POINTE,1,"1 500,00 XOF","1 500,00 XOF",
RAILLE DU COFRE,1,"2 000,00 XOF","2 000,00 XOF",
TOL DAMERQUE,1,"500,00 XOF","500,00 XOF",
AMPOULE,2,"500,00 XOF","1 000,00 XOF",
DOUILLE,2,"500,00 XOF","1 000,00 XOF",
IMPRESSION AFFICHE,1,"33 000,00 XOF","33 000,00 XOF",
classeur Archive,1,"2 000,00 XOF","2 000,00 XOF",
perforeuse,1,"2 500,00 XOF","2 500,00 XOF",
cable imprimante,1,"2 000,00 XOF","2 000,00 XOF",
JEUX DE LUMIERE,1,"8 000,00 XOF","8 000,00 XOF",
FLEURES SYNTHETIQUE,4,"1 250,00 XOF","5 000,00 XOF",
FLEURES SYNTHETIQUE,2,"2 000,00 XOF","4 000,00 XOF",
NATTE PLASTIC,1,"3 000,00 XOF","3 000,00 XOF",
FLEUR PLANTE,20,"500,00 XOF","10 000,00 XOF",
PLEURISTE,1,"4 000,00 XOF","4 000,00 XOF",
TYAU ARROSAGE,1,"15 000,00 XOF","15 000,00 XOF",
BORDURE POR FLEURE,22,"750,00 XOF","16 500,00 XOF",
